2026-07-08 07:58:31,273 - ERROR - user_service.user_service.py - FetchUserInfo - < id:5790753843, portrait:tb.1.935341b0.qlsb5TjFzq-FEsUfKICOHg >
2026-07-08 07:58:31,274 - ERROR - user_service.user_service.py - FetchUserInfo - < id:5790436673, portrait:tb.1.12db8a67.vMe0orHfY1kZLKFgxpQRBw >
2026-07-08 07:58:31,403 - ERROR - user_service.user_service.py - FetchUserInfo - < id:5865381003, portrait:tb.1.6c00bb41.sKL5D3Wy2h9tbsY8V3Myrw >
2026-07-08 07:58:31,446 - ERROR - user_service.user_service.py - FetchUserInfo - < id:5943331371, portrait:tb.1.b81c4316.g3jH-IFKQKoiW0GpFlQjcQ >
2026-07-08 07:58:31,525 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6031778932, portrait:tb.1.8b1616b1.TGBwDtKPNaM0BtjZmsg5Pg >
2026-07-08 07:58:31,570 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6046720307, portrait:tb.1.d994ba46.e_unrDUalRtcFz8jFCBbbw >
2026-07-08 07:58:31,584 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6344941776, portrait:tb.1.148b06a2.loMUoo2gHqlWIsJR3Ih5fA >
2026-07-08 07:58:31,595 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6323186002, portrait:tb.1.14a3c6ff.dtMy9B0CuPNeVZ5OVQ0AfQ >
2026-07-08 07:58:31,699 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6347958560, portrait:tb.1.9038f0a3.VqNeuC1sL_7k9SGpzqmx2w >
2026-07-08 07:58:31,747 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6349400462, portrait:tb.1.4a5be9b.ISgLgMG1uAsZ83k-XY4QqA >
2026-07-08 07:58:31,774 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6365155223, portrait:tb.1.74700e60.0S7Oh1hgHd4KEeyTptB4Tg >
2026-07-08 07:58:31,774 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6366790565, portrait:tb.1.8af74c4d.bDYc9Um9OttIb0MqIBAQkA >
2026-07-08 07:58:31,854 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6376376702, portrait:tb.1.29a64be2.b2uxke01AKne2YZUJCZ13g >
2026-07-08 07:58:31,900 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6389758360, portrait:tb.1.db16d606.QjwMHrn3iqBFtbDjcVkCsw >
2026-07-08 07:58:32,066 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6467082697, portrait:tb.1.39ac5c38.OmqBTXRymq3QnFprZJlTTw >
2026-07-08 07:58:32,072 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6487511641, portrait:None >
2026-07-08 07:58:32,087 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6467296225, portrait:tb.1.1ec49e7e.EkY1zKT0kyFZC4NNBSnMBw >
2026-07-08 07:58:32,088 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6467289844, portrait:tb.1.643db59.4ajOPPR_SVxBt_7jBb5V_w >
2026-07-08 07:58:32,156 - ERROR - user_service.user_service.py - FetchUserInfo - < id:6489585120, portrait:tb.1.3dc1fa62.f1S2hh-6JUTvJOg9hfEhhw >
